roberta_neg,roberta_neu,roberta_pos,Text,Summary,Score,ProfileName,UserId
0.009624243713915348,0.04998041316866875,0.9403953552246094,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,Good Quality Dog Food,5,delmartian,A3SGXH7AUHU8GW
0.5089859366416931,0.4524136483669281,0.038600366562604904,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"".",Not as Advertised,1,dll pa,A1D87F6ZCVE5NK
0.003228900022804737,0.09806738048791885,0.8987036943435669,"This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.","""Delight"" says it all",4,"Natalia Corres ""Natalia Corres""",ABXLMWJIXXAIN
0.002295126672834158,0.09021908789873123,0.9074857831001282,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,Cough Medicine,2,Karl,A395BORC6FGVXV
0.0016347275814041495,0.010302464477717876,0.988062858581543,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal.",Great taffy,5,"Michael D. Bigham ""M. Wassir""",A1UQRSCLF8GW1T
0.006129587534815073,0.02179585210978985,0.972074568271637,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.",Nice Taffy,4,Twoapennything,ADT0SRK1MGOEU
0.0013047526590526104,0.007773786783218384,0.9909214377403259,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!",Great!  Just as good as the expensive brands!,5,David C. Sullivan,A1SP2KVKFXXRU1
0.0020293560810387135,0.00568520138040185,0.9922853708267212,This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,"Wonderful, tasty taffy",5,Pamela G. Williams,A3JRGQVEQN31IQ
0.0038735801354050636,0.09415626525878906,0.9019702076911926,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,Yay Barley,5,R. James,A1MZYO9TZK0BBI
0.00310346158221364,0.05591223016381264,0.940984308719635,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,Healthy Dog Food,5,Carol A. Reed,A21BT40VZCCYT4
0.01913410797715187,0.0710444524884224,0.9098213911056519,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",The Best Hot Sauce in the World,5,Canadian Fan,A3HDKO7OW0QNK4
0.3726431131362915,0.5196990966796875,0.10765780508518219,"One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy, and the protein-rich, no by-product food up higher where only my skinny boy can jump.  The higher food sits going stale.  They both really go for this food.  And my chubby boy has been losing about an ounce a week.","My cats LOVE this ""diet"" food better than their regular food",5,"A Poeng ""SparkyGoHome""",A2725IB4YY9JEB
0.46612483263015747,0.41525915265083313,0.11861607432365417,"My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately, I now need to find a new food that my cats will eat.",My Cats Are Not Fans of the New Food,1,LT,A327PCT23YH90
0.001407748437486589,0.005883279722183943,0.9927089214324951,good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!,fresh and greasy!,4,"willie ""roadie""",A18ECVX2RJ7HUE
0.0018244234379380941,0.02184097282588482,0.9763345718383789,The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.,Strawberry Twizzlers - Yummy,5,"Lynrie ""Oh HELL no""",A2MUGFV2TDQ47K
0.004562125075608492,0.032325379550457,0.9631125330924988,My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.,"Lots of twizzlers, just what you expect.",5,Brian A. Lee,A1CZX3CP8IKQIJ
0.002922585466876626,0.013419528491795063,0.9836578965187073,I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,poor taste,2,Erica Neathery,A3KLWF6WQ5BNYO
0.0011118244146928191,0.0080062635242939,0.9908819198608398,I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,Love it!,5,Becca,AFKW14U97Z6QO
0.0030300847720354795,0.1421538144350052,0.8548161387443542,"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You",GREAT SWEET CANDY!,5,Wolfee1,A2A9X58G2GTBLP
0.005554624367505312,0.032469239085912704,0.961976170539856,Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,Home delivered twizlers,5,Greg,A3IV7CL2C13K2U
0.010422171093523502,0.06525932997465134,0.9243184924125671,"My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner.",Always fresh,5,mom2emma,A1WO0KGLPR5PV6
0.0016783946193754673,0.02074400894343853,0.9775775671005249,"I bought these for my husband who is currently overseas. He loves these, and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag, and this was well worth the price. <a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",TWIZZLERS,5,Tammy Anderson,AZOF9E17RGZH8
0.009479431435465813,0.056938692927360535,0.9335818290710449,I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.,Delicious product!,5,Charles Brown,ARYVQL4N737A1
0.0032611831557005644,0.023223020136356354,0.9735157489776611,I love this candy.  After weight watchers I had to cut back but still have a craving for it.,Twizzlers,5,Mare's,AJ613OLZZUG7V
0.4495280086994171,0.39073437452316284,0.15973758697509766,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.",Please sell these in Mexico!!,5,"S. Cabanaugh ""jilly pepper""",A22P2J09NJ9HKE
0.04531402513384819,0.7786214351654053,0.17606456577777863,"Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",Twizzlers - Strawberry,5,"Deborah S. Linzer ""Cat Lady""",A3FONPR03H3PJS
0.9533155560493469,0.04058292880654335,0.006101399194449186,"The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again",Nasty No flavor,1,lady21,A3RXAU2N8KV45G
0.0038475869223475456,0.022754181176424026,0.9733982682228088,I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.,Great Bargain for the Price,4,Heather Dube,AAAS38B98HMIK
0.004532335326075554,0.014126607216894627,0.9813410043716431,"I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!",YUMMY!,5,DaisyH,A2F4LZVGFLD1OB
0.01913410797715187,0.0710444524884224,0.9098213911056519,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",The Best Hot Sauce in the World,5,Canadian Fan,A3HDKO7OW0QNK4
0.0024305141996592283,0.016508134081959724,0.9810613393783569,"I have never been a huge coffee fan. However, my mother purchased this little machine and talked me into trying the Latte Macciato. No Coffee Shop has a better one and I like most of the other products, too (as a usually non-coffee drinker!).<br />The little Dolche Guesto Machine is super easy to use and prepares a really good Coffee/Latte/Cappuccino/etc in less than a minute (if water is heated up). I would recommend the Dolce Gusto to anyone. Too good for the price and I'am getting one myself! :)",Great machine!,5,Sherril,AFM0O9480F04W
0.0013848732924088836,0.009927840903401375,0.98868727684021,"This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral",THIS IS MY TASTE...,5,"Molly V. Smith ""staral""",A31OQO709M20Y7
0.11853330582380295,0.32944202423095703,0.5520246624946594,"McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact, however, that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation.  Still, the McCann's is as good as it gets for instant oatmeal. It's even better than the organic, all-natural brands I have tried.  All the varieties in the McCann's variety pack taste good.  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue.<br /><br />McCann's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product.  Real sugar tastes better and is not as harmful as the other stuff. One thing I do not like, though, is McCann's use of thickeners.  Oats plus water plus heat should make a creamy, tasty oatmeal without the need for guar gum. But this is a convenience product.  Maybe the guar gum is why, after sitting in the bowl a while, the instant McCann's becomes too thick and gluey.",Best of the Instant Oatmeals,4,S. Potter,AOVROBZ8BNTP7
0.004969138652086258,0.051026444882154465,0.9440043568611145,"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.",Good Instant,4,"Megan ""Bad at Nicknames""",A3PMM0NFVEJGK9
0.002159759635105729,0.017793649807572365,0.9800466299057007,"Instant oatmeal can become soggy the minute the water hits the bowl. McCann's Instant Oatmeal holds its texture, has excellent flavor, and is good for you all at the same time. McCann's regular oat meal is excellent, too, but may take a bit longer to prepare than most have time for in the morning. This is the best instant brand I've ever eaten, and a very close second to the non-instant variety.<br /><br />McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)",Great Irish oatmeal for those in a hurry!,5,CorbyJames,A2EB6OGOWCRU5H
0.0030508344061672688,0.08110053837299347,0.9158486127853394,"McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)<br /><br />I'm a fan of the McCann's steel-cut oats, so I thought I'd give the instant variety a try. I found it to be a hardy meal, not too sweet, and great for folks like me (post-bariatric surgery) who need food that is palatable, easily digestible, with fiber but won't make you bloat.",satisfying,4,T. J. Ryan,A2CI0RLADCRKPF
0.00243457593023777,0.011576179414987564,0.9859892129898071,"For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store!  I love McCann's instant oatmeal - all flavors!!!<br /><br />Thanks,<br />Abby",Love Gluten Free Oatmeal!!!,5,"Abby Chase ""gluten free""",A1MYS9LFFBIYKM
0.03896915540099144,0.2220006138086319,0.7390302419662476,"What else do you need to know? Oatmeal, instant (make it with a half cup of low-fat milk and add raisins;nuke for 90 seconds). More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something. It's still just oatmeal. Mmm, convenient!",it's oatmeal,5,"Zardoz ""focuspuller""",A3MGP2E1ZZ6GRB
0.014056234620511532,0.29882973432540894,0.6871140599250793,"I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE , HE CAME OUT OF HIS STORAGE ROOM WITH ( A PACKET OF McCANNS INSTANT IRISH OATMEAL .) HE SUGGESTED THAT I TRY IT FOR MY OWN USE ,IN MY STASH . SOMETIMES NATE DOSE NOT GIVE YOU A CHANCE TO SAY NO , SO I ENDED UP TRYING THE APPLE AND CINN . FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED MILK . IT GOES GOOD WITH O.J. AND COFFEE AND A SLICE OF TOAST AND YOUR READY TO TAKE ON THE WORLD...OR THE DAY AT LEAST..  JERRY REITH...",GOOD WAY TO START THE DAY....,4,JERRY REITH,A2GHZ2UTV2B0CD
0.0012026616604998708,0.023010892793536186,0.9757864475250244,"I ordered this for my wife as it was reccomended by our daughter.  She has this almost every morning and likes all flavors.  She's happy, I'm happy!!!<br /><a href=""http://www.amazon.com/gp/product/B001EO5QW8"">McCANN'S Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)</a>",Wife's favorite Breakfast,5,kYpondman,AO80AC8313NIZ
0.009690554812550545,0.037833187729120255,0.9524762630462646,"The variety packs taste great!<br /><br />I have them every morning. At $0.30 cents per meal, I don't understand why everyone on earth isn't buying this stuff up.<br /><br />Maple and brown sugar is terrific, followed by apples and cinnamon, followed by regular. You don't get tired of the same ole thing, and they taste great.<br /><br />I just boil water from a small pot, empty the packet or 2 in a bowl, pour in boiling water, and watch it expand to 2x its size!<br /><br />Taste really good and takes minutes to prepare.<br /><br />Not sure why everyone on earth isn't this. Convenient, healthy, very quick, excellent quality, and extremely cheap...",Why wouldn't you buy oatmeal from Mcanns? Tastes great!,5,Garrett,AQCY5KRO7489S
0.036511652171611786,0.1809672862291336,0.7825210690498352,"McCann's makes oatmeal for every oatmeal connoisseur, whether one likes it from the raw pellet state that cooks for half an hour, to the sloth addled instant, which can be done in the microwave for under three minutes. It's all good, that's for sure, and the beauty of the instant variety is that it is available in different flavors as well as regular.<br />  This variety pack allows different tastes to be explored, as well as giving you a chance to experience the difference between McCann's and other well-known oatmeals. What I personally like about McCann's is that it cooks up thicker and with more body than the top brand here in America. The Apples & Cinnamon, though, tends to be a little liquidy so you may want to experiment with the amount of water you add. In my 1300watt microwave the oatmeal cooks up in about one minute and twenty-seven seconds, so you should also watch that to get a handle on how much time and water to use.<br />  The only bad thing -- if you can consider it a bad thing -- about this offering is that you have to buy in lot so you'll end up with six ten-count boxes. This is good if you have a whole family of oatmeal-eaters, but if you're a single person alone -- well, love oatmeal.",Oatmeal For Oatmeal Lovers,5,"Dick Baldwin ""christobe""",A1WK4ALVZDYPUE
0.001403937698341906,0.009315227158367634,0.9892808794975281,I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy,Food-Great,5,Roger Pugliese,A16XFOYQSJREL7
0.0019128802232444286,0.016714561730623245,0.981372594833374,"McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon, but we find that none of these are overly sugary.  For a good hot breakfast in 2 minutes, this is excellent.",Good Hot Breakfast,5,Mother of 9,A17DW6SUOC70DJ
0.005844250787049532,0.041151903569698334,0.9530038833618164,We really like the McCann's steel cut oats but find we don't cook it up too often.<br />This tastes much better to me than the grocery store brands and is just as convenient.<br />Anything that keeps me eating oatmeal regularly is a good thing.,Great taste and convenience,5,D. Leschke,A2G7B7FKP2O2PU
0.886887788772583,0.09925421327352524,0.013857926242053509,"This seems a little more wholesome than some of the supermarket brands, but it is somewhat mushy and doesn't have quite as much flavor either.  It didn't pass muster with my kids, so I probably won't buy it again.",Hearty Oatmeal,3,K. A. Freel,A39Z97950MCTQE
0.10034390538930893,0.2955039143562317,0.6041522026062012,Good oatmeal.  I like the apple cinnamon the best.  Though I wouldn't follow the directions on the package since it always comes out too soupy for my taste.  That could just be me since I like my oatmeal really thick to add some milk on top of.,good,5,grumpyrainbow,AQLL2R1PPR46X
0.16032908856868744,0.3389703333377838,0.5007005333900452,"The flavors are good.  However, I do not see any differce between this and Oaker Oats brand - they are both mushy.",Mushy,3,"kbogo ""shoelover""",A26AY1TFK8BQXQ
0.003388430457562208,0.021274389699101448,0.9753372073173523,"I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick, easy and satisfying breakfast and I'll order this brand again, but not the variety. I'll get all Maple and Brown Sugar.",Very good but next time I won't order the Variety Pack,4,knitty pants,ALOR97KTZTK1P
0.9021344184875488,0.087925486266613,0.009940091520547867,This is the same stuff you can buy at the big box stores.  There is nothing healthy about it.  It is just carbs and sugars.  Save your money and get something that at least has some taste.,Same stuff,3,JMay,A276999Y6VRSCQ
0.9763551354408264,0.020687470212578773,0.002957370597869158,"This oatmeal is not good. Its mushy, soft, I don't like it. Quaker Oats is the way to go.",Don't like it,1,Roberto A,A108P30XVUFKXY
0.004793715197592974,0.026923956349492073,0.9682822823524475,"Got a free package of these with a bottle of bloody mary mix I bought from the seller, and the advertising worked..lol,  I tried them, and shared them with 2 buddies, and we all loved them...  So im here to buy more, and noticed there were no reviews yet,...  well now there is.  They are Hot,  but not ""burn your mouth forever hot""  its a nice temp...  Perfect for us..",HOT!  And good!  Came back for more  :),5,Mike Kaser,A3S5KJDA6ED2PS
0.5248543620109558,0.3791848421096802,0.0959608256816864,"This wasn't in stock the last time I looked. I had to go to the Vermont Country Store in Weston to find it along with a jaw harp, Cranberry Horseradish Sauce, Fartless Black Bean Salsa, Apple Cider Jelly, Newton's Cradle Art in Motion and the staple Vermont Maple Syrup.<br /><br />Back to the Ass Kickin Peanuts. They are hot. They will activate the perspiration glands behind your ears and under your arms. It requires a beverage as advertised, a glass of very cold milk, and a box of Kleenex since it will make your nose run. They look like ordinary peanuts which is already giving me ideas for work. I suspect that some people have been hitting my goodies in my absence, especially my colleague Greg. I'm going to take this to work at earliest opportunity and empty the contents of this can into an ordinary Planters Peanuts can, and then see whose crying or whose nose is running when I return.<br /><br />The can should be shaken to ensure the spices are evenly distributed. It is important to wash your hands after consumption and not touch the eyes.<br /><br />You'll go nuts over these Ass-Kickin' Peanuts.<br /><br />P.S. I'm not sharing the peanuts, not deliberately, and I'll probably give Greg the jaw harp for Christmas. He'll be so insulted.",You'll go nuts over Ass-Kickin' Peanuts.,4,Edwin C. Pauzer,A9L6L5H9BPEBO
0.4226582944393158,0.5005043148994446,0.07683742046356201,we're used to spicy foods down here in south texas and these are not at all spicy.  doubt very much habanero is used at all.  could take it up a notch or two.,not ass kickin,3,"Roel Trevino ""protomex""",AQ9DWWYP2KJCQ
0.001639833441004157,0.05024220794439316,0.9481179118156433,"I roast at home with a stove-top popcorn popper (but I do it outside, of course). These beans (Coffee Bean Direct Green Mexican Altura) seem to be well-suited for this method. The first and second cracks are distinct, and I've roasted the beans from medium to slightly dark with great results every time. The aroma is strong and persistent. The taste is smooth, velvety, yet lively.",Roasts up a smooth brew,4,"David Belton ""Proteus 1""",A1ND7WC5LXOU48
0.00180008914321661,0.018932312726974487,0.9792675971984863,"We roast these in a large cast iron pan on the grill (about 1/3 of the bag at a time).  The smell is wonderful and the roasted beans taste delicious too.  More importantly, the coffee is smooth; no bitter aftertaste.  On numerous occasions, we've had to send the roasted beans home with friends because they like it so much.",Our guests love it!,5,TJ Fairfax,A2EFAW1P3DRXWO
0.0016082074726000428,0.00811582151800394,0.9902759790420532,Deal was awesome!  Arrived before Halloween as indicated and was enough to satisfy trick or treaters.  I love the quality of this product and it was much less expensive than the local store's candy.,Awesome Deal!,5,amateur amazon shopper,A202WR509428VF
0.0020191853400319815,0.018697969615459442,0.979282796382904,"It is chocolate, what can I say.  Great variety of everything our family loves.  With a family of six it goes fast here.  Perfect variety.  Kit Kat, Reeses, take five and more.",How can you go wrong!,5,S. Beck,ASCNNAJU6SXF8
0.001220517442561686,0.007787709124386311,0.9909918308258057,"Great product, nice combination of chocolates and perfect size!  The bags had plenty, and they were shipped promptly.  The kids in the neighborhood liked our candies!",Awsome - Kids in neighborhood loved us!,5,"P. Kelso ""Amazon all the way!""",A2A7KXM9B4XW90
